Drawing,Number,Annotation,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025015,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025016,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025017,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025018,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025019,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025020,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025021,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025022,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-026004,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-026005,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-026006,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,\L\C5;151667-TSA-W1A-MVL1-REG-W-SS-000001,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,\L\C5;151667-TSA-00-MVM-SPE-W-CV-000001 ,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,\L\C5;151667-TSA-W1B-AMJ-SPE-W-CV-000001,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,\C7;Notes continued:,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,17. The following signage is to be provided for the ASP compound:,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002," ""Danger - No unauthorized access"" (CA 03/I to RIS-0733-CCS) - to be provided on all gates",,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002," ""Danger - High Voltage"" (BD 01/k to RIS-0733-CCS) - to be provided on outside face of fencing ",,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002," ""These bonds must not be disconnected without reference to ..."" (BD 01/q to RIS-0733-CCS) - to be provided on the inside face of fencing and on building beside bonding inspection chamber",,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002, Warning/Supplementary sign for NR boundary/Site entrance (RTE 6011/A NR/L2/ELP/21131 Issue 3) - to be fixed to entrance into ASP compound (to be confirmed whether required) ,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002, ,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002, Signage to be provided on the existing access gate specifying that vehicles are to reverse into the ASP compound.,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002, Additional signage is to be agreed with Network Rail Maintenance Team.,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002, Also refer to signage for URX (detailed on Drg. No./-025020) and rotating anti-climb system (detailed on Drg. No./-025017). Signage on E&P assets is assumed to be completed by Others. The main Ashton Moss Compound access point signage is assumed to be located on the main entrance into the compound off Richmond Street and already installed. ,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,\L\C5;151667-TSA-00-MVM-SPE-W-CV-000001,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,\L\C5;151667-TSA-W1B-MVL1-DRG-C-CV-025011,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,1. For general notes refer to Drg. No.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2. The CDM hazard record is to be read in conjunction with this drawing: ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,For section locations see Drg. No.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,\fArial|b1|i0|c00|p39;\C7;Proposed Construction Sequence,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,\fArial|b0|i0|c00|p39;1. Take possession of the area and site compound set up.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2. Auxiliary Supply Point (ASP) Compound ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.1. Vegetation clearance within the surrounding area.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.2. Scan for the presence of buried utilities which may not be present on service drawings. ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.3. Regrade surrounding area to match the required levels.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.4. Excavate necessary existing ground and install earth mat, cables and ducting to inspection chambers.,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.5. Test earth system.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.6. If the testing identifies that further earth rods are required to be installed, then the necessary existing ground is to be excavated before additional earth rods, cables and ducting to inspection chambers are installed.,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.7. Compact area beneath foundations, placement of blinding layer, formworks erected, reinforcement placed and cast in-situ foundations for the ASP building, temporary generator slab and access steps. ,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.8. Note URX Chamber A is to be installed in the ASP compound extents (refer to Section 3 for further details).,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.9. Ducting and troughing routes in the compound to be installed.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.10. Install fence/gate posts. ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.11. Excavate around compound and install concrete anti-burrow beams and kerb edging.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.12. Surfacing and hardstanding in compound area to be installed.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.13. Install ASP building fixings on foundation.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.14. Fence/gate panels to be installed.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2.15. ASP building and removable steps installed (by Others),,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3. Under Road Crossing (URX),,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3.1. Vegetation clearance within the surrounding area.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3.2. Scan for the presence of buried utilities which may not be present on service drawings. ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3.3. Regrade surrounding area around access chamber B to match the required levels.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3.4. Install vertical shoring and excavate trench for URX ducting and chambers to required depth. Install props as per temporary works design.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3.5. Install and compact bedding for chambers.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3.6. Install multi-duct/ducting/chambers as per manufacturer’s instruction and surround backfill in compacted layers.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3.7. Install buried services warning marker tape above top of ducts.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3.8. Backfill excavation above ducting in compacted layers.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3.9. Remove vertical shoring and reinstate fill (as required).,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3.10. Install URX hazard signs at each end of the URX.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4. Distribution Network Operator (DNO) Cabinet,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.1. Vegetation clearance within the surrounding area,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.2. Scan for the presence of buried utilities which may not be present on service drawings. ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.3. Existing DNO to be protected prior to its recovery.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.4. Existing fencing removed as required,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.5. Regrade surrounding area to match the required levels.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.6. Install vertical shoring and excavate trench for access chambers and DNO ducting to required depth. Install props as per temporary works design.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.7. Install and compact bedding for chambers.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.8. Install chamber and ducting as per manufacturer’s instruction and surround backfill in compacted layers.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.9. Remove vertical shoring and reinstate fill (as required).,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.10. Excavate the area to the required level.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.11. Compact area beneath DNO foundation, place blinding layer, formwork erected, reinforcement placed and cast in-situ foundations for the DNO. Ducts to be cast into foundation.,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.12. GRP cabinet installed (by Others). Cabinet to be fixed to the base.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.13. Install fence posts. ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.14. Excavate around DNO area and install concrete anti-burrow beams, collapsible bollards, handrails and kerb edging.,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.15. Surfacing and hardstanding in compound area to be installed.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.16. Install GRP fence panels.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.17. New DNO to be connected to network.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.18. Existing DNO to be removed and recovered.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,4.19. Install steel palisade fence panels. ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,5. Works required to the Access Track ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,5.1. Vegetation clearance within the surrounding area.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,5.2. Scan for the presence of buried utilities which may not be present on service drawings. ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,5.3. Regrade surrounding area to match the required levels.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,5.4. Kerb units to be installed.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,5.5. Vehicle restraint system to be installed.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,5.6. Required surfacing beside existing access track installed.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,6. Cable Troughing ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,6.1. Trench dug to install troughing along and down the embankment.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,7. Handover compound and DNO to E&P/Network Rail.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,Envisaged Temporary Works:,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,1. Crane pad design for installation of ASP building (by Others),,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,2. Shoring for excavations for URX ducting and access chambers.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025011,3. Shoring for excavation to enable the installation of the earthing and bonding mats/ducting.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,1. For general notes refer to Drg. No.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,3. Insitu concrete footings for access steps to be compressive strength C40/50 unless otherwise indicated. Concrete mix to be in accordance with the Civils Specification (Section 1700).,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,4. All exposed arises to foundation to have 25x25mm chamfer unless noted otherwise.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,5. All finishes to be as shown on the drawing and in accordance with Network Rail standard specification NR/L2/CIV/140/1700C. All finishes to be F2 unless noted otherwise.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,6. Approximate weight of access steps (from Manufacturer):,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015, Side entry three thread step assembly - 82.5kg,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,7. Lighting is to be attached to the ASP building (refer to separate E&P submission). No foundations required for separate lighting columns.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,8. No building drainage is required.,,,,,
